"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","x19","x20","x21","x22","x23","gemeinden_n","pop_20_sum","pop20_MEDIAN","bs20_MEAN","lupp20_MEAN","mean_FLAT_size_2022","livespace_MEAN_grid_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","share_big_WHG_2022","POP_60_plus_._2022","Tax_pp_2020","change_pc_bs_median","change_pc_flat_size","change_pc_livespace_pp","change_pc_income_tax_pp"
"892000","Gewaltkriminalität",1001,"Flensburg","KfS",392,435,59,15.1,7,0,335,85.5,404,352,52,119,29.5,2723642,NA,1001,"Flensburg",90164,1,84448.2861,21.82,1529.4861,86.0582,78.71,58.4546,2.76,6.96,0.1918,0.4936,26.2706,NA,9.588,-16.654,15.1967,NA
"892000","Gewaltkriminalität",1002,"Kiel","KfS",770,312,111,14.4,9,2,580,75.3,718,621,97,245,34.1,2723642,NA,1002,"Kiel",246794,1,255933.258,25.5917,1284.6311,60.0215,73,52.4187,2.08,7.64,0.1969,0.6299,25.3295,NA,8.1773,-16.6159,14.8029,NA
"892000","Gewaltkriminalität",1003,"Lübeck","KfS",742,343,121,16.3,7,6,575,77.5,643,548,95,183,28.5,2723642,NA,1003,"Lübeck",216530,1,217398.0236,20.0212,1453.9809,90.2538,76.52,55.7473,2.82,7.47,0.202,0.458,30.279,NA,4.7702,-14.5627,20.2646,NA
"892000","Gewaltkriminalität",1004,"Neumünster","KfS",368,459,67,18.2,3,0,293,79.6,369,316,53,156,42.3,2723642,NA,1004,"Neumünster",80196,1,84581.2283,19.7766,1505.4347,96.2743,83.08,61.1821,3.55,6.22,0.2295,0.3398,29.9881,NA,8.1081,-11.6158,18.5668,NA
"892000","Gewaltkriminalität",1051,"Dithmarschen","K",212,159,34,16,5,4,179,84.4,237,208,29,55,23.2,2723642,NA,1051,"Dithmarschen",133193,116,133754.484,4.5281,717.6948,243.2363,120.7854,70.5195,3.8944,5.3383,0.275,0.0241,32.6505,8.6415,-4.3664,7.1653,49.3078,48.5759
"892000","Gewaltkriminalität",1053,"Herzogtum Lauenburg","K",292,147,55,18.8,2,5,255,87.3,295,245,50,80,27.1,2723642,NA,1053,"Herzogtum Lauenburg",198019,133,193723.1286,6.6228,850.4747,175.4283,117.9739,63.4736,3.4963,6.6245,0.321,0.0561,30.0485,8.6927,-0.3205,5.6861,30.894,29.5486
"892000","Gewaltkriminalität",1054,"Nordfriesland","K",262,158,33,12.6,3,2,230,87.8,270,225,45,73,27,2723642,NA,1054,"Nordfriesland",165951,133,163151.3359,4.1419,615.4767,234.3807,115.3145,69.506,5.3845,6.5814,0.2705,0.0446,31.2418,8.6195,-3.1354,9.2319,43.9337,51.8093
"892000","Gewaltkriminalität",1055,"Ostholstein","K",305,152,69,22.6,3,6,259,84.9,327,282,45,65,19.9,2723642,NA,1055,"Ostholstein",200539,36,199957.2137,6.4978,896.8119,171.6266,98.9694,65.5181,3.9706,6.8831,0.2375,0.1653,35.8649,6.7284,2.7431,-1.3058,19.1232,34.8504
"892000","Gewaltkriminalität",1056,"Pinneberg","K",579,183,91,15.7,7,4,477,82.4,601,516,85,232,38.6,2723642,NA,1056,"Pinneberg",316103,49,307834.2739,9.2519,989.8874,147.3066,112.1635,64.417,2.6532,7.6904,0.3178,0.1136,28.2393,9.3332,0.4895,2.2739,33.7112,15.2462
"892000","Gewaltkriminalität",1057,"Plön","K",161,125,29,18,1,2,132,82,156,141,15,35,22.4,2723642,NA,1057,"Plön",128686,85,127328.5716,5.8502,676.1796,150.8655,113.5435,67.129,4.1967,6.2941,0.2852,0.0645,32.8107,7.7852,2.4761,4.1698,33.3366,27.5243
