"schluessel","straftat","gemeindeschluessel","stadt_landkreis","kreisart","anzahl_erfasste_faelle","haeufigkeitszahl","erfasste_faelle_davon_versuche_anzahl","erfasste_faelle_davon_versuche_anteil_in_percent","mit_schusswaffe_gedroht","mit_schusswaffe_geschossen","auffklaerung_anzahl_faelle","aufklaerungsquote","tatverdaechtige_insgesamt","tatverdaechtige_maennlich","tatverdaechtige_weiblich","nichtdeutsche_tatverdaechtige_anzahl","nichtdeutsche_tatverdaechtige_anteil_in_percent_an_der_gesamtzahl","gemeinden_n","pop20_MEAN","mean_FLAT_size_2022","vac_MEAN_muni_2022","Rent_m2_EUR_2022","share_larger_HH_2022","POP_60_plus_._2022","change_pc_bs_mean","st_einnkr"
"892000","Gewaltkriminalität",1001,"Flensburg","KfS",372,408,46,"12.4",3,2,274,"73.7",329,280,49,104,"31.6",1,27.1713,78.71,2.76,6.96,0.1918,26.2706,7.4668,1395.12
"892000","Gewaltkriminalität",1002,"Kiel","KfS",829,337,131,"15.8",9,3,607,"73.2",690,581,109,229,"33.2",1,37.081,73,2.08,7.64,0.1969,25.3295,5.9446,1369.73
"892000","Gewaltkriminalität",1003,"Lübeck","KfS",792,366,117,"14.8",7,3,618,"78",751,645,106,218,"29",1,27.2258,76.52,2.82,7.47,0.202,30.279,3.8713,1319.68
"892000","Gewaltkriminalität",1004,"Neumünster","KfS",376,473,51,"13.6",2,2,266,"70.7",320,279,41,137,"42.8",1,23.1666,83.08,3.55,6.22,0.2295,29.9881,5.0808,1465.54
"892000","Gewaltkriminalität",1051,"Dithmarschen","K",288,215,40,"13.9",5,1,232,"80.6",302,271,31,100,"33.1",116,5.8121,120.7854,3.8944,5.3383,0.275,32.6505,8.4741,2049.3013
"892000","Gewaltkriminalität",1053,"Herzogtum Lauenburg","K",326,162,38,"11.7",3,2,261,"80.1",288,244,44,92,"31.9",133,8.3197,117.9739,3.4963,6.6245,0.321,30.0485,9.1752,1179.5009
"892000","Gewaltkriminalität",1054,"Nordfriesland","K",279,167,29,"10.4",2,3,222,"79.6",254,215,39,59,"23.2",133,5.3074,115.3145,5.3845,6.5814,0.2705,31.2418,10.0305,2173.9616
"892000","Gewaltkriminalität",1055,"Ostholstein","K",342,169,99,"28.9",5,0,283,"82.7",292,245,47,46,"15.8",36,9.1552,98.9694,3.9706,6.8831,0.2375,35.8649,9.5341,1313.8892
"892000","Gewaltkriminalität",1056,"Pinneberg","K",630,198,119,"18.9",8,5,511,"81.1",620,503,117,213,"34.4",49,12.123,112.1635,2.6532,7.6904,0.3178,28.2393,8.5157,2174.1739
"892000","Gewaltkriminalität",1057,"Plön","K",143,110,14,"9.8",0,2,117,"81.8",136,118,18,22,"16.2",85,7.8109,113.5435,4.1967,6.2941,0.2852,32.8107,10.6854,1073.7732
